date,word,language,month,Leo_months
2021-06-17,plato,spanish,2021-06,19
2021-06-17,perro,spanish,2021-06,19
2021-06-17,caminar,spanish,2021-06,19
2021-06-18,burbujas,spanish,2021-06,19
2021-06-18,barco,spanish,2021-06,19
2021-06-18,cocina,spanish,2021-06,19
2021-06-18,baño,spanish,2021-06,19
2021-06-19,blanco,spanish,2021-06,20
2021-06-19,jirafa,spanish,2021-06,20
2021-06-20,cocodrilo,spanish,2021-06,20
2021-06-20,techo,spanish,2021-06,20
2021-06-20,cargo,spanish,2021-06,20
2021-06-21,todos,spanish,2021-06,20
2021-06-22,cuatro,spanish,2021-06,20
2021-06-23,espejo,spanish,2021-06,20
2021-06-24,tiburón,spanish,2021-06,20
2021-06-25,lirón,spanish,2021-06,20
2021-06-25,de nada,spanish,2021-06,20
2021-06-25,noche,spanish,2021-06,20
2021-06-25,baño,spanish,2021-06,20
2021-06-25,aspirar,spanish,2021-06,20
2021-06-25,morder,spanish,2021-06,20
2021-06-27,mucho,spanish,2021-06,20
2021-06-27,alberca,spanish,2021-06,20
2021-06-30,cabra,spanish,2021-06,20
2021-06-30,grande,spanish,2021-06,20
2021-07-01,hay,spanish,2021-07,20
2021-07-01,córrele,spanish,2021-07,20
2021-07-02,está,spanish,2021-07,20
2021-07-03,cayó,spanish,2021-07,20
2021-07-04,amigo,spanish,2021-07,20
2021-07-05,zanahoria,spanish,2021-07,20
2021-07-06,calzón,spanish,2021-07,20
2021-07-07,blanco,spanish,2021-07,20
2021-07-07,fantasma,spanish,2021-07,20
2021-07-07,negro,spanish,2021-07,20
2021-07-10,cereal,spanish,2021-07,20
2021-07-11,ya,spanish,2021-07,20
2021-07-11,diez,spanish,2021-07,20
2021-07-12,mundo,spanish,2021-07,20
2021-07-12,mucho,spanish,2021-07,20
2021-07-13,bueno,spanish,2021-07,20
2021-07-15,gis,spanish,2021-07,20
2021-07-15,tocar,spanish,2021-07,20
2021-07-15,espejo,spanish,2021-07,20
2021-07-15,shorts,spanish,2021-07,20
2021-07-16,tocar,spanish,2021-07,20
2021-07-17,mantequilla,spanish,2021-07,20
2021-07-17,botas,spanish,2021-07,20
2021-07-18,grande,spanish,2021-07,20
2021-07-19,tigre,spanish,2021-07,20
2021-07-19,ardilla,spanish,2021-07,20
2021-07-24,hipopótamo,spanish,2021-07,21
2021-07-24,oso,spanish,2021-07,21
2021-07-24,foto,spanish,2021-07,21
2021-07-24,maleta,spanish,2021-07,21
2021-07-27,jitomate,spanish,2021-07,21
2021-07-28,fuerte,spanish,2021-07,21
2021-07-28,Búho,spanish,2021-07,21
2021-07-31,salud,spanish,2021-07,21
2021-07-31,ven,spanish,2021-07,21
2021-08-01,Mexico,spanish,2021-08,21
2021-08-01,buscar,spanish,2021-08,21
2021-08-02,chanclas,spanish,2021-08,21
2021-08-03,cerrado,spanish,2021-08,21
2021-08-03,toma,spanish,2021-08,21
2021-08-03,botas,spanish,2021-08,21
2021-08-04,salud,spanish,2021-08,21
2021-08-04,danke,spanish,2021-08,21
2021-08-04,bitte,spanish,2021-08,21
2021-08-04,Wohnung,spanish,2021-08,21
2021-08-05,toalla,spanish,2021-08,21
2021-08-05,tienes,spanish,2021-08,21
2021-08-05,susto,spanish,2021-08,21
2021-08-07,lejos,spanish,2021-08,21
2021-08-07,tortuga,spanish,2021-08,21
2021-08-07,saco,spanish,2021-08,21
2021-08-07,siete,spanish,2021-08,21
2021-08-07,seis,spanish,2021-08,21
2021-08-07,tienes,spanish,2021-08,21
2021-08-08,dulce,spanish,2021-08,21
2021-08-08,sentar,spanish,2021-08,21
2021-08-08,caliente,spanish,2021-08,21
2021-08-10,vaca,spanish,2021-08,21
2021-08-12,amorcito,spanish,2021-08,21
2021-08-13,durmiendo,spanish,2021-08,21
2021-08-16,ballena,spanish,2021-08,21
2021-08-17,planeta,spanish,2021-08,21
2021-08-17,zorro,spanish,2021-08,21
2021-08-17,lindo,spanish,2021-08,21
2021-08-17,cerdo,spanish,2021-08,21
2021-08-17,araña,spanish,2021-08,21
2021-08-17,avión,spanish,2021-08,21
2021-08-22,raton,spanish,2021-08,22
2021-08-22,buenas noches,spanish,2021-08,22
2021-08-22,bolsa,spanish,2021-08,22
2021-08-22,buenos dias,spanish,2021-08,22
2021-08-22,puerta,spanish,2021-08,22
2021-08-24,mobil,spanish,2021-08,22
2021-08-26,pantalón,spanish,2021-08,22
2021-08-26,t-shirt,spanish,2021-08,22
2021-08-29,pingüino,spanish,2021-08,22
2021-08-30,compu,spanish,2021-08,22
2021-08-30,verdad,spanish,2021-08,22
2021-09-02,bajar,spanish,2021-09,22
2021-09-02,laufen,spanish,2021-09,22
2021-09-03,vuelan,spanish,2021-09,22
2021-09-04,letras,spanish,2021-09,22
2021-09-04,quienes,spanish,2021-09,22
2021-09-06,miedo,spanish,2021-09,22
2021-09-07,ayuda,spanish,2021-09,22
2021-09-07,fuente,spanish,2021-09,22
2021-09-08,marcas,spanish,2021-09,22
2021-09-08,listos,spanish,2021-09,22
2021-09-08,fuera,spanish,2021-09,22
2021-09-10,cerrada,spanish,2021-09,22
2021-09-10,sed,spanish,2021-09,22
2021-09-10,cabe,spanish,2021-09,22
2021-09-11,cortar,spanish,2021-09,22
2021-09-12,pared,spanish,2021-09,22
2021-09-13,escalera,spanish,2021-09,22
2021-09-13,pásale,spanish,2021-09,22
2021-09-13,familia,spanish,2021-09,22
2021-09-14,flecha,spanish,2021-09,22
2021-09-15,culo,spanish,2021-09,22
2021-09-16,aspiradora,spanish,2021-09,22
2021-09-17,otoño,spanish,2021-09,22
2021-09-18,porfis,spanish,2021-09,22
2021-09-19,desayuno,spanish,2021-09,23
2021-09-19,taladro,spanish,2021-09,23
2021-09-24,alarma,spanish,2021-09,23
2021-09-26,jardín,spanish,2021-09,23
2021-09-28,papel,spanish,2021-09,23
2021-09-28,cortar,spanish,2021-09,23
2021-09-28,pintar,spanish,2021-09,23
2021-09-30,oscuro,spanish,2021-09,23
2021-10-07,encanta,spanish,2021-10,23
2021-10-09,cable,spanish,2021-10,23
2021-10-09,schreiben,spanish,2021-10,23
2021-10-09,codo,spanish,2021-10,23
2021-10-09,también,spanish,2021-10,23
2021-10-10,funciona,spanish,2021-10,23
