date,word,language,month,Leo_months
2021-07-11,ausziehen,german,2021-07,20
2021-07-11,schlucken,german,2021-07,20
2021-07-11,Räuber,german,2021-07,20
2021-07-12,Schatten,german,2021-07,20
2021-07-15,schwarz,german,2021-07,20
2021-07-15,Kreide,german,2021-07,20
2021-07-15,hier,german,2021-07,20
2021-07-16,Bäcker,german,2021-07,20
2021-07-16,Maske,german,2021-07,20
2021-07-17,Frischkäse,german,2021-07,20
2021-07-17,Heim,german,2021-07,20
2021-07-17,Wäsche,german,2021-07,20
2021-07-18,Pusteblume,german,2021-07,20
2021-07-18,Brille,german,2021-07,20
2021-07-18,Vogel,german,2021-07,20
2021-07-18,Tischtennis,german,2021-07,20
2021-07-19,Bauch,german,2021-07,20
2021-07-19,Pferd,german,2021-07,20
2021-07-19,Igel,german,2021-07,20
2021-07-20,leer,german,2021-07,21
2021-07-20,Zähne,german,2021-07,21
2021-07-21,Vielleicht,german,2021-07,21
2021-07-21,schiess,german,2021-07,21
2021-07-21,Eichhörnchen,german,2021-07,21
2021-07-21,Rückwärts,german,2021-07,21
2021-07-22,süß,german,2021-07,21
2021-07-22,warm,german,2021-07,21
2021-07-23,Nektarine,german,2021-07,21
2021-07-24,fein,german,2021-07,21
2021-07-26,Ausfahrt,german,2021-07,21
2021-07-26,weiter,german,2021-07,21
2021-07-27,Zug,german,2021-07,21
2021-07-27,Mond,german,2021-07,21
2021-07-28,Bär,german,2021-07,21
2021-07-30,meiner,german,2021-07,21
2021-07-30,einer,german,2021-07,21
2021-07-31,heute,german,2021-07,21
2021-08-01,Wand,german,2021-08,21
2021-08-01,arm,german,2021-08,21
2021-08-02,Memory,german,2021-08,21
2021-08-03,Hausschuhe,german,2021-08,21
2021-08-07,Rino,german,2021-08,21
2021-08-07,jetzt,german,2021-08,21
2021-08-08,leuchten,german,2021-08,21
2021-08-08,Hase,german,2021-08,21
2021-08-08,Stinktier,german,2021-08,21
2021-08-08,Barfuß,german,2021-08,21
2021-08-09,Buch,german,2021-08,21
2021-08-09,alleine,german,2021-08,21
